18:27:01.376 | 0f d1 8d 4c 29 55 14 99 23 6f 1a f0 24 be 1b 12  |  -99 CRC error
18:27:01.887 | 0f d3 8d e4 a0 78 2e 33 2f d9 1a 11 1b 8f 1f cd  |  -99 CRC error
18:27:02.142 | 0f d4 8c f0 29 db 1d 47 1b 8a 1c 8a 26 32 26 4b  | -103 CRC error
18:27:02.413 | 0f d5 ad 7c 25 03 5d dc 21 a9 1b d3 5a 47 28 53  |  -99 CRC error
18:27:02.920 | 07 d5 8e 14 1a eb 25 05 16 c2 16 2a ad 52 af e4  | -102 CRC error
18:27:03.446 | 0f d9 8e 2c 18 61 1b 26 28 de 15 5c 2a a5 12 58  |  -97 CRC error
18:27:03.701 | 0f da 8e 38 19 91 20 cc 13 69 1d d3 2b 2b 1f b6  |  -95 CRC error
18:27:03.955 | 0b db 8e 44 1b c7 25 30 1b da 60 c7 5d 5f 2b 64  | -101 CRC error
18:27:04.731 | 0f de 8e 69 29 15 28 70 1c 8c 1b c9 14 d2 24 25  | -101 CRC error
18:27:05.254 | 4f e0 8e 80 2b 86 5b 4a 22 bb 20 75 1d 5e 2d dd  |  -99 CRC error
18:27:05.524 | 0e e1 8e 8c ac 9a 25 71 20 db 5c 68 14 5d 2a d2  |  -98 CRC error
18:27:05.783 | 0a e2 8e 99 1d 64 26 ea 16 d8 29 9b 20 ee 17 bf  | -100 CRC error
18:27:06.298 | 8b e4 8e b2 1f 95 27 67 25 94 11 df 2a 97 56 eb  | -102 CRC error
18:27:07.331 | 0f e8 8e e0 23 3a 23 f5 11 3a 1d 65 17 59 2a 50  |  -97 CRC error
18:27:07.588 | 0f e9 8e ec 22 b7 18 ac 25 a7 31 0a 20 51 1a e5  |  -98 CRC error
18:27:08.365 | 4f ec 8f 10 53 d8 6a aa aa ab 29 3f 5b 78 98 f5  | -101 CRC error
18:27:08.632 | 4b ed 8f 1c 1d cb 14 db 25 7e 1f 91 1d e7 1c 8e  |  -99 CRC error
18:27:08.889 | 0f ee 8f 28 26 e8 19 3f 17 6d 15 47 1e bb 2a aa  |  -99 CRC error
18:27:09.665 | 0f 71 ad 4c 2a 6f 23 fb 5b f8 a4 1d 5a ad 5a b5  | -102 CRC error
18:27:10.442 | 0f d4 8f 70 28 2d 57 ac 25 c3 26 48 2a c9 29 41  | -101 CRC error
18:27:12.518 | 0f fc 8f d0 1d da 5a 0a 1a 59 12 eb 23 a5 1d 76  | -102 CRC error
18:27:13.803 | 2f 01 90 4d 14 3c 21 d6 1b 94 2b b8 2f b3 1e 6c  |  -97 CRC error
18:27:14.077 | 0f 02 90 18 20 f6 1f c2 20 22 9d 51 12 4e 29 18  |  -97 CRC error
18:27:14.329 | 0f 03 94 24 24 b0 0b 21 21 5a 16 b1 25 8d 1e 96  |  -96 CRC error
18:27:14.594 | 4f 04 91 32 2a ef 59 68 1c bf 5d ed 12 e5 2d 4b  | -101 CRC error
18:27:14.853 | 8d 05 90 34 26 1a 1c 75 17 a8 20 a4 19 78 18 83  | -101 CRC error
18:27:15.361 | 2f 07 91 55 1b 5d 1a 7e 24 36 21 58 22 e7 14 67  | -102 CRC error
18:27:16.409 | 0f 2b 90 84 1a f5 23 46 1f 24 13 57 22 f6 1a b3  | -101 CRC error
18:27:17.188 | 0f 2e 90 a8 23 c9 22 c4 1b 24 1c 99 26 73 2d 5b  |  -99 CRC error
18:27:17.443 | 4f aa ad 55 2b a6 96 d9 21 35 15 fd 17 aa 6f d5  |  -87 CRC error
18:27:17.699 | 0f 10 d2 c0 19 b9 25 69 17 16 18 c1 1f 59 2a 78  |  -96 CRC error
18:27:17.967 | 0f 11 90 cc 1d 6a a5 75 56 ea ba 9a 29 55 55 2a  |  -97 CRC error
18:27:18.226 | 0f 12 90 d8 24 a8 22 d4 0f 6c 22 86 20 d2 2a ca  |  -98 CRC error
18:27:18.476 | 8f 13 90 e4 24 b5 22 5a 1c d2 3b d1 1d 3b 19 79  |  -95 CRC error
18:27:18.730 | 0f 14 90 f0 24 97 23 9a 2a 39 0d ab 29 84 19 c2  | -100 CRC error
18:27:18.999 | 0f 55 90 fc 25 2e 11 71 1e d9 1a cd 1a 1d 22 a8  |  -98 CRC error
18:27:19.254 | 0f 16 91 08 20 7c 26 6f 18 38 0d 78 17 8d 2c e2  | -100 CRC error
18:27:19.777 | 0f 18 91 20 25 8e a3 34 17 15 30 7a 1e be 20 c7  | -101 CRC error
18:27:20.032 | 0f 19 91 44 75 7d 55 75 55 55 f5 5f 55 55 5f ff  |  -95 CRC error
18:27:21.066 | af 1d 91 54 5e c3 24 2b 1b 42 58 5a 1d 63 16 54  | -100 CRC error
18:27:21.588 | 0f 1f 91 74 26 17 29 28 1c b7 21 55 1b 57 13 32  | -103 CRC error
18:27:22.364 | 0f 22 91 98 21 4e 9e 17 26 6d 2a 4b 2b 09 26 eb  |  -97 CRC error
18:27:22.618 | 0f 23 91 a4 2b 61 35 90 1c e9 1a b7 66 95 15 4b  |  -98 CRC error
18:27:24.187 | 0f 29 91 ec 29 db 1d f4 1b d1 2a 96 24 8d 22 e2  |  -98 CRC error
18:27:25.471 | 0f 2e 92 28 15 52 2e c3 1f 11 19 af 24 fe 28 f5  | -103 CRC error
18:27:26.002 | 8f b0 92 40 1f 94 1c 55 5a bd 25 a2 16 94 27 13  |  -98 CRC error
18:27:26.517 | 0b 32 92 58 23 71 22 7f 1b 76 27 89 1b d2 2d 36  | -100 CRC error
18:27:26.776 | 0f 33 92 64 28 35 11 d3 0d 49 28 23 22 0a 1b 82  |  -99 CRC error
18:27:27.555 | 8f 36 92 88 1b 15 0d c7 29 bc 2e 6b 27 41 0f ce  | -102 CRC error
18:27:27.808 | 0d 35 92 94 24 fb 26 41 54 95 5a 92 1b e1 1c d1  | -102 CRC error
18:27:28.075 | 0f 38 92 a0 97 12 26 19 28 54 09 e7 18 c0 28 53  |  -97 CRC error
18:27:28.582 | 8f 7a 92 b8 58 a9 19 e8 15 29 35 0d 5f bb 22 81  | -101 CRC error
18:27:29.106 | 4f 3c 92 d0 24 b7 18 a7 19 6c 1d 52 26 f2 1d 28  |  -98 CRC error
18:27:29.630 | 0f 3e 92 e8 1f a8 1b 47 25 23 1d bf 20 b9 20 e1  | -101 CRC error
18:27:29.885 | af 3f 92 ff a4 fb 25 26 ad 3b 52 e6 ab a7 2d 7d  | -103 CRC error
18:27:30.188 | 0f 40 93 00 24 72 0f b4 2e 58 20 61 23 fe 2f 57  |  -99 CRC error
18:27:30.921 | 4f 43 53 24 2a a9 59 56 ab aa 1c a5 11 bb 2b bd  | -100 CRC error
18:27:31.949 | 0f 46 93 52 4b b4 a6 b6 11 8a 58 a2 16 b7 1a 9d  |  -99 CRC error
18:27:32.474 | 0b 49 93 6c 0f 39 18 25 20 5c 9e fe 20 a2 16 d5  |  -99 CRC error
18:27:33.520 | 0f 4d 93 9c 20 43 0b 41 2b 14 24 5b 2b 60 14 ea  |  -98 CRC error
18:27:33.772 | 0f 4e 93 a8 aa 2d 22 7e 1e b9 26 5a 26 4a a8 9c  | -101 CRC error
18:27:34.026 | 0f 4f 93 b4 28 f6 2a 19 08 71 21 79 5e a5 19 56  | -104 CRC error
18:27:34.286 | 2f 50 93 c1 2c 6b 1d 59 25 08 a4 f8 1f b4 26 51  |  -99 CRC error
18:27:35.075 | 0f 52 93 e4 2a 48 1d 10 2e 84 18 aa 21 07 24 90  |  -96 CRC error
18:27:35.584 | 0f 55 93 fc 21 60 1a 25 23 14 1c 80 2a 41 1f 88  | -102 CRC error
18:27:36.111 | 0f 57 94 14 1f 08 19 ca 28 2b 17 ab 64 81 59 43  | -104 CRC error
18:27:37.409 | 0f 5c 94 50 28 66 16 f2 13 0a 25 42 9e cb 11 37  | -103 CRC error
18:27:37.663 | 4f 5d 94 5c 5e 46 ac 25 29 08 13 55 34 10 a4 95  | -100 CRC error
18:27:38.172 | 8d 5d 94 74 14 55 5b 4f 2d 6d 96 56 a5 aa aa d5  | -102 CRC error
18:27:38.695 | 8f 61 94 8c 26 d4 1c 9a 1b 6f 57 c8 28 56 12 35  |  -99 CRC error
18:27:38.950 | 0f 6a 94 98 59 96 2c 4c 21 9b 24 c1 35 81 25 d4  | -101 CRC error
18:27:39.222 | 2f 63 94 a5 1f 4d 20 63 26 9d 21 cc 68 05 28 3f  | -100 CRC error
18:27:41.283 | 8f 6b 95 44 15 99 27 1c 2a 7f 37 24 16 b1 1b f5  | -103 CRC error
18:27:44.661 | 8b 7a 95 a1 17 15 2a 66 12 bf 28 13 17 24 ab f5  |  -99 CRC error
18:27:47.245 | 0f 82 96 19 2a d8 37 59 14 c7 18 99 13 ad 29 fb  |  -98 CRC error
